time,close,contrast,sellprice,buyprice,volume,cum_vol,cum_vol_price,open,high,low,contrast_sig,contrast_vol,contrast_vol_price,tr_cost,mkt_cap,mkt_type,KO,change_ratio,contrast_vol_ratio,vol_cycle,tr_str
9:00:03,2846000,8000,2839000,2838000,10181,10181,28975,2846000,2846000,2846000,2,-160223,-4.53424E+11,9422,3674143,2,0,0.28,-5.97,0.01,0
9:00:03,2845000,7000,2846000,2845000,-1,10182,28977,2846000,2846000,2845000,2,-160222,-4.53422E+11,9419,3672852,2,0,0.25,-5.98,0.01,0
9:00:03,2845000,7000,2846000,2845000,-1,10183,28980,2846000,2846000,2845000,2,-160221,-4.53419E+11,9419,3672852,2,0,0.25,-5.98,0.01,0
9:00:03,2845000,7000,2846000,2845000,-1,10184,28983,2846000,2846000,2845000,2,-160220,-4.53416E+11,9419,3672852,2,0,0.25,-5.98,0.01,0
9:00:03,2845000,7000,2846000,2845000,-1,10185,28986,2846000,2846000,2845000,2,-160219,-4.53413E+11,9419,3672852,2,0,0.25,-5.98,0.01,0
9:00:03,2846000,8000,2846000,2845000,1,10186,28989,2846000,2846000,2845000,2,-160218,-4.5341E+11,9422,3674143,2,0,0.28,-5.98,0.01,25
9:00:03,2845000,7000,2846000,2845000,-1,10187,28992,2846000,2846000,2845000,2,-160217,-4.53407E+11,9419,3672852,2,0,0.25,-5.98,0.01,20
9:00:03,2845000,7000,2846000,2845000,-1,10188,28995,2846000,2846000,2845000,2,-160216,-4.53404E+11,9419,3672852,2,0,0.25,-5.98,0.01,16.67
9:00:03,2845000,7000,2846000,2845000,-2,10190,29000,2846000,2846000,2845000,2,-160214,-4.53399E+11,9419,3672852,2,0,0.25,-5.98,0.01,12.5
9:00:03,2845000,7000,2846000,2845000,-2,10192,29006,2846000,2846000,2845000,2,-160212,-4.53393E+11,9419,3672852,2,0,0.25,-5.98,0.01,10
9:00:03,2845000,7000,2846000,2845000,-4,10196,29017,2846000,2846000,2845000,2,-160208,-4.53382E+11,9419,3672852,2,0,0.25,-5.98,0.01,7.14
9:00:03,2845000,7000,2846000,2845000,-1,10197,29020,2846000,2846000,2845000,2,-160207,-4.53379E+11,9419,3672852,2,0,0.25,-5.98,0.01,6.67
9:00:03,2845000,7000,2846000,2845000,-1,10198,29023,2846000,2846000,2845000,2,-160206,-4.53376E+11,9419,3672852,2,0,0.25,-5.98,0.01,6.25
9:00:03,2840000,2000,2846000,2840000,-19,10217,29077,2846000,2846000,2840000,2,-160187,-4.53322E+11,9402,3666397,2,0,0.07,-6,0.01,2.86
9:00:03,2840000,2000,2845000,2840000,-1,10218,29080,2846000,2846000,2840000,2,-160186,-4.53319E+11,9402,3666397,2,0,0.07,-6,0.01,2.78
9:00:03,2840000,2000,2841000,2840000,-3,10221,29088,2846000,2846000,2840000,2,-160183,-4.53311E+11,9402,3666397,2,0,0.07,-6,0.01,2.56
9:00:03,2845000,7000,2845000,2840000,1,10222,29091,2846000,2846000,2840000,2,-160182,-4.53308E+11,9419,3672852,2,0,0.25,-6,0.01,5.13
9:00:03,2845000,7000,2845000,2840000,6,10228,29108,2846000,2846000,2840000,2,-160176,-4.53291E+11,9419,3672852,2,0,0.25,-6,0.01,20.51
9:00:03,2846000,8000,2846000,2840000,4,10232,29120,2846000,2846000,2840000,2,-160172,-4.53279E+11,9422,3674143,2,0,0.28,-6,0.01,30.77
9:00:05,2845000,7000,2845000,2840000,-9,10241,29145,2846000,2846000,2840000,2,-160163,-4.53254E+11,9419,3672852,2,0,0.25,-6.01,0.01,25
9:00:06,2845000,7000,2845000,2840000,6,10247,29162,2846000,2846000,2840000,2,-160157,-4.53237E+11,9419,3672852,2,0,0.25,-6.01,0.01,37.5
9:00:06,2845000,7000,2845000,2840000,1,10248,29165,2846000,2846000,2840000,2,-160156,-4.53234E+11,9419,3672852,2,0,0.25,-6.01,0.01,39.58
9:00:11,2841000,3000,2843000,2841000,-1,10249,29168,2846000,2846000,2840000,2,-160155,-4.53231E+11,9405,3667688,2,0,0.11,-6.01,0.01,38.78
9:00:19,2841000,3000,2843000,2841000,-4,10253,29179,2846000,2846000,2840000,2,-160151,-4.5322E+11,9405,3667688,2,0,0.11,-6.02,0.01,35.85
9:00:23,2843000,5000,2844000,2843000,82,10335,29412,2846000,2846000,2840000,2,-160069,-4.52987E+11,9412,3670270,2,0,0.18,-6.06,0.01,190.57
